"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/what-is-behavioral-health-and-how-does-it-affect-you/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-make-the-most-of-un-ideal-sleep-conditions/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-cope-with-the-sunday-scaries/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/8-plants-with-amazing-anti-anxiety-relaxing-benefits/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-be-in-the-present-moment/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-best-foods-for-better-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/february-full-moon-meditation/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/5-herbal-tea-recipe-to-relieve-anxiety-and-stress/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/5-ways-to-arrange-your-bedroom-for-better-sleep/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/a-ansiedade-está-afetando-seu-sono/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/sono-melhor-sua-arma-secreta-para-o-sucesso-acadêmico/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/page/3/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/como-a-covid-19-está-afetando-seu-descanso-e-o-que-você-pode-fazer-para-dormir-melhor/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/o-que-nosso-cérebro-faz-enquanto-dormimos/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/meditação/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/pt/blog/som/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/pt/blog/relaxamento/","text/html","200","OK","Indexable",""
"https://www.bettersleep.com/pt/blog/guia-rápido-para-o-cochilo-intenso-perfeito/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/como-melhorar-a-síndrome-das-pernas-inquietas-e-dormir/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/três-coisas-que-estão-atrapalhando-seu-sono-à-noite-e-o-que-fazer/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/sono/","text/html","200","OK","Indexable",""
