"Address","PSI Status","PSI Error","Performance Score","First Contentful Paint Time (ms)","Speed Index Time (ms)","Largest Contentful Paint Time (ms)","Time to Interactive (ms)","Total Blocking Time (ms)","Cumulative Layout Shift","Total Size Savings (Bytes)","Total Time Savings (ms)","Total Requests","Total Page Size (Bytes)","HTML Size (Bytes)","HTML Count","Image Size (Bytes)","Image Count","CSS Size (Bytes)","CSS Count","JavaScript Size (Bytes)","JavaScript Count","Font Size (Bytes)","Font Count","Media Size (Bytes)","Media Count","Other Size (Bytes)","Other Count","Third Party Size (Bytes)","Third Party Count","Core Web Vitals Assessment","CrUX First Contentful Paint Time (ms)","CrUX First Input Delay Time (ms)","CrUX Largest Contentful Paint Time (ms)","CrUX Cumulative Layout Shift","Eliminate Render-Blocking Resources Savings (ms)","Defer Offscreen Images Savings (ms)","Efficiently Encode Images Savings (ms)","Properly Size Images Savings (ms)","Minify CSS Savings (ms)","Minify JavaScript Savings (ms)","Reduce Unused CSS Savings (ms)","Reduce Unused JavaScript Savings (ms)","Serve Images in Next-Gen Formats Savings (ms)","Enable Text Compression Savings (ms)","Preconnect to Required Origins Savings (ms)","Server Response Times (TTFB) (ms)","Multiple Redirects Savings (ms)","Preload Key Requests Savings (ms)","Use Video Format for Animated Images Savings (ms)","Total Image Optimization Savings (ms)","Avoid Serving Legacy JavaScript to Modern Browsers Savings (Bytes)","Image Elements Do Not Have Explicit Width & Height","Avoid Large Layout Shifts"
"https://www.columbusrecoverycenter.com/fortitude/","Success","","24","4680.000","7962.358","11540.500","22497.000","1306.500","0.056","970096","8096","201","3679680","58556","6","1241879","20","213035","41","1841414","109","311677","13","0","0","13119","12","1909997","128","","","","","","2812","1200","410","0","0","0","600","2080","710","0","0","284","0","0","0","2320","34370","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/students/","Success","","38","2940.000","7818.870","3907.000","18264.500","2092.500","0.000","870717","6473","159","2478715","49990","6","485803","15","118235","30","1691471","92","120094","4","0","0","13122","12","1810093","121","","","","","","1120","1050","0","300","0","0","150","2100","300","0","0","1453","0","0","0","1650","34449","8 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/about/","Success","","20","4080.000","9051.402","7328.000","32594.000","23045.000","0.000","1043779","4668","198","3001934","59250","6","612019","19","215960","42","1855297","110","244932","7","0","0","14476","14","1903279","127","","","","","","2262","0","0","0","0","0","1250","80","800","0","0","276","0","0","0","800","34354","9 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/online-recovery-meetings/","Success","","24","4230.000","9532.098","6399.000","19768.500","1727.500","0.000","918651","8610","186","2672589","59029","6","317920","13","209409","40","1842123","109","230984","6","0","0","13124","12","1842752","122","","","","","","2341","1050","0","150","0","0","600","2550","150","0","0","1769","0","0","0","1350","34372","6 resources found","4 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/marion/","Success","","31","3592.500","8526.917","4770.000","19724.000","1710.500","0.021","925346","8058","173","2742694","57296","7","318411","13","118217","30","2075637","103","159311","7","0","0","13822","13","2257724","137","","","","","","1312","1350","0","80","0","0","540","2510","290","580","0","1396","0","0","0","1720","34545","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/cincinnati/","Success","","28","3240.000","8748.535","4966.500","22234.500","7613.500","0.021","803273","3828","171","2633498","58266","7","321983","13","118216","30","1989136","103","132069","5","0","0","13828","13","2147564","135","","","","","","846","0","0","0","0","0","170","1590","0","0","0","1222","0","0","0","0","34308","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/outreach/","Success","","39","3090.000","10965.784","3240.000","20533.000","2970.000","0.023","11631729","43644","163","6981030","50327","6","4976708","18","118218","30","1690589","92","132070","5","0","0","13118","12","6501286","127","","","","","","1262","3000","0","16540","0","0","300","1880","17320","0","0","3342","0","0","0","36860","34370","12 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/treatment-programs/telehealth-app/","Success","","18","5892.000","11876.327","7350.000","21236.000","2522.500","0.000","903881","8134","196","2873504","58263","6","493081","20","210004","40","1842081","109","255017","8","0","0","15058","13","2015500","130","","","","","","1350","1770","0","0","0","0","750","2110","0","0","0","2154","0","0","0","1770","34371","6 resources found",""
"https://www.columbusrecoverycenter.com/ohio-rehab/westerville/","Success","","30","3090.000","8623.406","4548.000","20305.500","5204.000","0.047","791632","4441","171","2624435","57018","7","313904","13","118219","30","1989396","103","132070","5","0","0","13828","13","2139740","135","","","","","","1098","470","0","0","0","0","0","1400","0","0","0","1473","0","0","0","470","34372","6 resources found","5 elements found"
"https://www.columbusrecoverycenter.com/ohio-rehab/","Success","","44","2940.000","6761.053","3678.000","17522.500","1381.500","0.011","753300","5358","157","2288240","50089","6","296588","13","118237","30","1690115","92","120094","4","0","0","13117","12","1808729","121","","","","","","1143","1350","0","0","0","0","150","2150","300","0","0","265","0","0","0","1650","34404","6 resources found","5 elements found"
