"Site Crawled","https://bettersleep.com/"
"Date","2022-04-28"
"Time","11:25:20"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"URLs in Multiple Sitemaps","0","0.00%","1104","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","1104","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","1104","Internal HTML/XML pages"
""
"PageSpeed"
"All","1053","100.00%","1053","PageSpeed Data"
"Eliminate Render-Blocking Resources","0","0.00%","1053","PageSpeed Data"
"Properly Size Images","0","0.00%","1053","PageSpeed Data"
"Defer Offscreen Images","0","0.00%","1053","PageSpeed Data"
"Minify CSS","0","0.00%","1053","PageSpeed Data"
"Minify JavaScript","0","0.00%","1053","PageSpeed Data"
"Reduce Unused CSS","0","0.00%","1053","PageSpeed Data"
"Reduce Unused JavaScript","0","0.00%","1053","PageSpeed Data"
"Efficiently Encode Images","0","0.00%","1053","PageSpeed Data"
"Serve Images in Next-Gen Formats","0","0.00%","1053","PageSpeed Data"
"Enable Text Compression","0","0.00%","1053","PageSpeed Data"
"Preconnect to Required Origins","0","0.00%","1053","PageSpeed Data"
"Reduce Server Response Times (TTFB)","0","0.00%","1053","PageSpeed Data"
"Avoid Multiple Page Redirects","0","0.00%","1053","PageSpeed Data"
"Preload Key Requests","0","0.00%","1053","PageSpeed Data"
"Use Video Formats for Animated Content","0","0.00%","1053","PageSpeed Data"
"Avoid Excessive DOM Size","0","0.00%","1053","PageSpeed Data"
"Reduce JavaScript Execution Time","0","0.00%","1053","PageSpeed Data"
"Serve Static Assets with an Efficient Cache Policy","0","0.00%","1053","PageSpeed Data"
"Minimize Main-Thread Work","0","0.00%","1053","PageSpeed Data"
"Ensure Text Remains Visible During Webfont Load","0","0.00%","1053","PageSpeed Data"
"Image Elements Do Not Have Explicit Width & Height","0","0.00%","1053","PageSpeed Data"
"Avoid Large Layout Shifts","0","0.00%","1053","PageSpeed Data"
"Avoid Serving Legacy JavaScript to Modern Browsers","0","0.00%","1053","PageSpeed Data"
"Request Errors","0","0.00%","1053","PageSpeed Data"
""
"Custom Search"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","1053","100.00%","1053","Internal HTML pages with 2xx response"
""
"Analytics"
"All","1104","100.00%","1104","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","1104","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","1104","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","1104","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","1104","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","1104","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","1104","100.00%","1104","Internal URLs with associated Google Search Console data"
"Clicks Above 0","191","17.30%","1104","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","768","69.57%","1104","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","239","21.65%","1104","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","1104","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","1104","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","1104","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","1104","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","1104","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","1104","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","1104","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","1104","Internal URLs with associated Google Search Console data"
""
"Link Metrics"
"All","1104","100.00%","1104","Internal HTML/PDF pages"
""
""
"Depth (Clicks from Start URL)"
"0","0","0.00%","1053","Internal HTML pages with 2xx response"
"1","1","0.09%","1053","Internal HTML pages with 2xx response"
"2","22","2.09%","1053","Internal HTML pages with 2xx response"
"3","116","11.02%","1053","Internal HTML pages with 2xx response"
"4","416","39.51%","1053","Internal HTML pages with 2xx response"
"5","44","4.18%","1053","Internal HTML pages with 2xx response"
"6","25","2.37%","1053","Internal HTML pages with 2xx response"
"7","131","12.44%","1053","Internal HTML pages with 2xx response"
"8","298","28.30%","1053","Internal HTML pages with 2xx response"
"9","0","0.00%","1053","Internal HTML pages with 2xx response"
"10+","0","0.00%","1053","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://my.bettersleep.com/sounds","1012","96.11%","1053","Internal HTML pages with 2xx response"
"https://my.bettersleep.com/redirect/register","1009","95.82%","1053","Internal HTML pages with 2xx response"
"https://my.bettersleep.com/redeem","936","88.89%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/blog/","516","49.00%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/","487","46.25%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/partners/","472","44.82%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/gift/","467","44.35%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/info-covid19/","466","44.25%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/bettersleep-faq/","465","44.16%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/info-chronotypes/","465","44.16%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/studentprogram/","465","44.16%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/partners/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/gift/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/info-covid19/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/info-chronotypes/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/bettersleep-faq/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/studentprogram/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/relaxmelodies.com/blog/","453","43.02%","1053","Internal HTML pages with 2xx response"
"https://www.bettersleep.com/blog/relaxation/","452","42.92%","1053","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","1120","100.00%"
