"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://my.bettersleep.com/meditations/innervoyage/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/a-quick-guide-to-chakra-meditation/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/gettingsleepquicker/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/tropicalmoonlight/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sleepintocreativity/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/japanesemoonbreathing/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/healinggrief/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/lovingkindnesssingle/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/meditationforchange/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/relaxingvisualization/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/meditationfortrauma/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/tinnitusreliefsinglesa/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/blog/how-to-use-healing-meditation-for-sleep/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://my.bettersleep.com/meditations/sohum/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/stressandanxietyb/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/gratitudesingle/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/glowingcompassion/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sosdestress/play","0","0","1","1","website","","","","","","Non-Indexable","noindex"
